task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	a1/b95a49	2151	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-30 14:37:32.826	3.3s	0ms	44.4%	4.4 MB	29.8 MB	645.4 KB	3.9 KB
1	24/da9a28	2371	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test_illumina_amplicon.csv)	COMPLETED	0	2021-11-30 14:37:36.168	1.8s	0ms	88.9%	10.5 MB	32.5 MB	652.5 KB	898 B
3	c4/d71cf7	2585	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2021-11-30 14:37:37.943	1.1s	13ms	66.7%	0	0	87.7 KB	4.8 KB
4	aa/1be6f1	2771	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GET_CHROM_SIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-30 14:37:39.074	1.8s	0ms	80.0%	4.2 MB	26.4 MB	82.6 KB	380 B
6	80/1ecfa9	3015	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz)	COMPLETED	0	2021-11-30 14:37:40.894	1.5s	610ms	103.4%	6.6 MB	11.1 MB	91.9 MB	105.2 MB
2	67/8a37e3	3242	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-30 14:37:42.420	2.7s	1s	87.4%	4.6 MB	29.9 MB	1.7 MB	8.3 MB
5	f0/81244a	3461	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-30 14:37:45.090	2s	0ms	40.0%	3.2 MB	17.8 MB	185.2 KB	56.6 KB
8	58/ad2b29	3672	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-30 14:37:47.097	1.7s	0ms	25.0%	4.7 MB	26.5 MB	84 KB	9.4 KB
9	77/dd298a	3889	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-30 14:37:48.830	4.7s	3s	40.4%	63.6 MB	8.9 GB	17.8 MB	16.6 KB
12	62/2ef2b0	4306	NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE)	COMPLETED	0	2021-11-30 14:37:53.504	661ms	28ms	30.8%	2.9 MB	3.9 MB	5.6 MB	5.5 MB
14	04/7f6bac	4505	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE2_PE)	COMPLETED	0	2021-11-30 14:37:54.173	11.6s	10s	169.1%	325.8 MB	3.3 GB	26.6 MB	4.7 MB
10	29/909c48	5244	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE1_PE)	COMPLETED	0	2021-11-30 14:38:05.763	9.4s	7s	171.7%	343.7 MB	3.3 GB	28.5 MB	4.7 MB
13	17/dcb7b9	5817	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE2_PE)	COMPLETED	0	2021-11-30 14:38:15.138	6.8s	4s	114.7%	350.5 MB	430.5 MB	10.9 MB	5.6 MB
11	8e/dfbfda	6230	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE1_PE)	COMPLETED	0	2021-11-30 14:38:21.972	6.9s	5s	120.2%	598 MB	1007.1 MB	14.8 MB	7 MB
15	4e/4e6604	6665	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE3_SE)	COMPLETED	0	2021-11-30 14:38:28.903	6.2s	4s	113.5%	441.2 MB	780.8 MB	11.5 MB	6.2 MB
16	29/5a2e31	7099	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE3_SE)	COMPLETED	0	2021-11-30 14:38:35.136	6.6s	5s	146.7%	248 MB	3.2 GB	25.6 MB	2.3 MB
17	f2/61b8c1	7564	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_TRIM (SAMPLE2_PE)	COMPLETED	0	2021-11-30 14:38:41.722	9.9s	7s	160.9%	340.4 MB	3.3 GB	26.2 MB	4.5 MB
18	d7/ec4d8b	8149	NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE2_PE)	COMPLETED	0	2021-11-30 14:38:51.586	4.7s	2s	167.1%	5.9 MB	237.9 MB	101.3 MB	29.3 MB
19	52/04e563	8400	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE2_PE)	COMPLETED	0	2021-11-30 14:38:56.261	1m 20s	1m 19s	101.1%	60.1 MB	279.5 MB	41.6 MB	32.2 MB
20	86/2fdbe9	11694	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_TRIM (SAMPLE1_PE)	COMPLETED	0	2021-11-30 14:40:16.545	9.3s	8s	178.1%	367.9 MB	3.3 GB	27.7 MB	4.5 MB
22	ff/70b21f	12356	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE1_PE)	COMPLETED	0	2021-11-30 14:40:25.846	1m 41s	1m 39s	101.1%	60.2 MB	279.5 MB	50.1 MB	40.9 MB
21	b0/3cf557	16185	NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE1_PE)	COMPLETED	0	2021-11-30 14:42:06.483	4.9s	3s	172.2%	8.9 MB	238.3 MB	113.7 MB	37.1 MB
25	67/a99d3f	16528	NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE3_SE)	COMPLETED	0	2021-11-30 14:42:11.409	4.4s	2s	177.3%	7.8 MB	238.1 MB	111.8 MB	36.7 MB
