task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
6	cc/6d802a	155990	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz)	COMPLETED	0	2021-11-21 23:47:00.978	3.8s	1.4s	95.3%	6.7 MB	11.1 MB	91.9 MB	105.2 MB
3	49/92ecf3	156299	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GET_CHROM_SIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-21 23:47:04.745	2.7s	0ms	39.0%	2.8 MB	13.8 MB	82.6 KB	373 B
5	00/e9f2a5	156511	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2021-11-21 23:47:07.506	1.3s	38ms	44.4%	3.4 MB	7.2 MB	87.7 KB	4.8 KB
2	ef/b7a506	156718	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-21 23:47:08.826	3.1s	1s	61.0%	2.6 MB	13.5 MB	185.2 KB	56.6 KB
1	75/4ecfd2	156935	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test_illumina_amplicon.csv)	COMPLETED	0	2021-11-21 23:47:11.888	3.2s	0ms	87.5%	9.5 MB	31.7 MB	652.5 KB	906 B
4	0b/2e044d	157141	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-21 23:47:15.112	2.9s	1s	100.0%	9.7 MB	31.7 MB	645.4 KB	3.9 KB
8	12/c8f0e5	157378	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-21 23:47:17.995	2.6s	0ms	50.0%	6.9 MB	26.5 MB	84 KB	9.4 KB
7	4c/4a9460	157585	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-21 23:47:20.621	4s	1s	71.0%	109.8 MB	459.5 MB	1.7 MB	8.3 MB
9	01/87f1cf	157885	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-21 23:47:24.671	5.7s	3s	67.0%	63.7 MB	8.9 GB	17.8 MB	16.6 KB
14	96/115c8f	158306	NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE)	COMPLETED	0	2021-11-21 23:47:30.386	1.6s	46ms	57.1%	3.1 MB	7.8 MB	5.6 MB	5.5 MB
13	56/6c0c16	158509	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE1_PE)	COMPLETED	0	2021-11-21 23:47:31.973	19.3s	17s	164.9%	284.3 MB	3.3 GB	28.5 MB	4.7 MB
