task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	2e/8353bc	431140	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2021-11-23 16:14:33.564	724ms	6ms	80.0%	0	0	86.8 KB	4.8 KB
4	a7/c89af3	431122	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GET_CHROM_SIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-23 16:14:33.541	2s	0ms	36.4%	2.8 MB	11 MB	81.7 KB	374 B
8	33/0d1f20	431520	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz)	COMPLETED	0	2021-11-23 16:14:34.298	1.3s	453ms	117.4%	7 MB	11.1 MB	91.9 MB	105.2 MB
3	86/75dbcb	431788	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test_illumina_amplicon.csv)	COMPLETED	0	2021-11-23 16:14:35.516	1.7s	1s	88.9%	10.8 MB	32.6 MB	651.6 KB	907 B
1	66/01a804	431824	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-23 16:14:35.579	1.8s	0ms	78.3%	4.1 MB	33.1 MB	184.3 KB	56.6 KB
7	0b/f4c747	432218	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-23 16:14:37.197	1.7s	0ms	83.3%	2.8 MB	11 MB	644.6 KB	3.9 KB
6	d7/70227f	432304	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-23 16:14:37.373	2.2s	1s	96.2%	9.7 MB	31.7 MB	1.7 MB	8.3 MB
5	30/9eac54	432684	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-23 16:14:38.912	1.5s	0ms	133.3%	2.8 MB	11 MB	83.1 KB	9.4 KB
9	69/fcb009	432903	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-23 16:14:39.535	3.1s	2s	65.2%	64.2 MB	9 GB	17.8 MB	16.6 KB
13	61/ca099e	433132	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:14:40.447	5.8s	5s	119.7%	601.7 MB	1007.1 MB	10.9 MB	5.6 MB
10	5d/b26077	434073	NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:14:46.239	801ms	20ms	25.0%	2.9 MB	3.9 MB	5.6 MB	5.5 MB
11	e1/8d0adf	433510	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:14:42.659	7.3s	5s	118.6%	600 MB	943.1 MB	14.8 MB	7 MB
12	8c/c4fd27	434285	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:14:47.045	10.4s	9s	165.0%	555.3 MB	3.3 GB	28.4 MB	4.7 MB
14	d0/ffd93e	434755	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:14:49.964	8.3s	7s	174.2%	352.5 MB	3.3 GB	26.5 MB	4.7 MB
17	f9/f52aeb	435821	NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:14:58.270	4s	3s	159.7%	8.8 MB	237.8 MB	101.3 MB	29.3 MB
15	5b/8bfe72	435601	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_TRIM (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:14:57.461	8.1s	7s	161.5%	329.3 MB	3.3 GB	26.2 MB	4.5 MB
