task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	86/194d5a	729917	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2021-11-25 19:03:41.096	934ms	10ms	88.9%	0	0	86.8 KB	4.8 KB
4	6a/582b88	729940	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GET_CHROM_SIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 19:03:41.133	2s	0ms	36.4%	2.8 MB	11 MB	81.7 KB	377 B
3	99/b42393	730388	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz)	COMPLETED	0	2021-11-25 19:03:42.048	1.5s	532ms	110.8%	6.9 MB	11.1 MB	91.9 MB	105.2 MB
2	a6/c9f7ad	730395	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test_illumina_amplicon.csv)	COMPLETED	0	2021-11-25 19:03:42.068	2s	0ms	100.0%	2.7 MB	11 MB	651.6 KB	911 B
7	1d/a426c7	730855	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 19:03:43.518	2.5s	1s	108.0%	10.6 MB	32.4 MB	1.7 MB	8.3 MB
6	5e/8dc356	731135	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-25 19:03:45.973	1.9s	0ms	76.9%	2.8 MB	11 MB	644.6 KB	3.9 KB
5	ca/10df34	731121	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 19:03:45.949	2.1s	0ms	85.2%	2.8 MB	11 MB	184.3 KB	56.6 KB
8	b1/ae3b89	731579	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-25 19:03:47.885	1.6s	0ms	50.0%	0	0	83.1 KB	9.4 KB
10	f9/e8043e	731954	NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE)	COMPLETED	0	2021-11-25 19:03:49.522	589ms	10ms	50.0%	0	0	5.6 MB	5.5 MB
9	c6/5d187f	731666	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 19:03:48.088	4.3s	3s	40.8%	65.3 MB	8.9 GB	17.8 MB	16.7 KB
