task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	db/4a86fa	1245280	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz)	COMPLETED	0	2021-11-25 20:58:53.382	1.3s	447ms	115.2%	5.4 MB	7.8 MB	91.9 MB	105.2 MB
7	59/53cfeb	1245525	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GET_CHROM_SIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 20:58:54.659	1.5s	0ms	33.3%	3.5 MB	22.1 MB	82 KB	378 B
5	40/c0bae9	1245761	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2021-11-25 20:58:56.209	559ms	7ms	177.8%	0	0	87.1 KB	4.8 KB
6	1c/98efd3	1245992	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 20:58:56.774	1.7s	0ms	47.1%	3.5 MB	21.1 MB	184.6 KB	56.6 KB
3	96/605d1b	1246231	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 20:58:58.472	1.8s	1s	97.8%	8.1 MB	30.6 MB	1.7 MB	8.3 MB
2	84/7d3844	1246480	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-25 20:59:00.305	1.5s	0ms	80.0%	10.3 MB	32.2 MB	644.8 KB	3.9 KB
1	87/d65c2d	1246709	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test_illumina_amplicon.csv)	COMPLETED	0	2021-11-25 20:59:01.815	1.5s	0ms	80.0%	10.7 MB	32.5 MB	651.9 KB	911 B
8	e7/580388	1246944	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-25 20:59:03.359	1.5s	0ms	100.0%	2.8 MB	11 MB	83.4 KB	9.4 KB
9	b9/14486e	1247213	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 20:59:04.856	4s	2s	35.8%	64.2 MB	8.9 GB	17.8 MB	16.7 KB
10	4d/860016	1247652	NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE)	COMPLETED	0	2021-11-25 20:59:08.900	533ms	12ms	50.0%	2.8 MB	3.9 MB	5.6 MB	5.5 MB
