task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	55/6ff8c2	696219	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 19:18:49.593	1.9s	1s	97.8%	7.6 MB	30.4 MB	1.7 MB	8.3 MB
2	5a/db26b8	696474	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz)	COMPLETED	0	2021-11-25 19:18:51.518	1.2s	434ms	114.6%	5.2 MB	7.8 MB	91.9 MB	105.2 MB
3	0b/925e66	696707	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GET_CHROM_SIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 19:18:52.727	1.6s	0ms	29.6%	3.6 MB	22.1 MB	82 KB	375 B
6	6f/263a30	696947	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 19:18:54.283	1.7s	0ms	50.0%	3.7 MB	21.1 MB	184.6 KB	56.6 KB
8	ba/28f144	697183	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-25 19:18:55.986	1.6s	0ms	72.7%	10.1 MB	32.2 MB	644.8 KB	3.9 KB
5	17/2f7592	697413	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2021-11-25 19:18:57.547	554ms	7ms	72.7%	0	0	87.1 KB	4.8 KB
7	6f/abf238	697668	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test_illumina_amplicon.csv)	COMPLETED	0	2021-11-25 19:18:58.105	1.5s	0ms	100.0%	10.6 MB	32.5 MB	651.9 KB	909 B
1	84/343518	697901	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-25 19:18:59.653	1.5s	0ms	80.0%	2.8 MB	11 MB	83.4 KB	9.4 KB
9	a7/e4b758	698177	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 19:19:01.196	3s	2s	59.7%	64 MB	8.9 GB	17.8 MB	16.6 KB
10	ff/1a2dba	698531	NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE)	COMPLETED	0	2021-11-25 19:19:04.213	547ms	13ms	53.3%	2.8 MB	3.9 MB	5.6 MB	5.5 MB
11	65/0a544e	698755	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE1_PE)	COMPLETED	0	2021-11-25 19:19:04.764	7s	5s	169.2%	504.7 MB	3.3 GB	28.6 MB	4.7 MB
13	10/3e881b	699300	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE2_PE)	COMPLETED	0	2021-11-25 19:19:11.746	8s	6s	184.2%	315.7 MB	3.3 GB	26.6 MB	4.7 MB
12	65/ac3601	699913	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE2_PE)	COMPLETED	0	2021-11-25 19:19:19.722	5.5s	4s	117.8%	398.1 MB	430.5 MB	10.9 MB	5.6 MB
14	05/144f62	700324	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE1_PE)	COMPLETED	0	2021-11-25 19:19:25.232	6.5s	5s	118.9%	589.2 MB	943.1 MB	14.8 MB	7 MB
15	b2/952cf7	700783	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE3_SE)	COMPLETED	0	2021-11-25 19:19:31.781	5.9s	4s	113.2%	450.9 MB	780.8 MB	11.5 MB	6.2 MB
16	1d/a0b47a	701241	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE3_SE)	COMPLETED	0	2021-11-25 19:19:37.698	5.9s	4s	146.4%	279.8 MB	3.2 GB	25.6 MB	2.3 MB
