task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	dd/a3e5e6	303987	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2021-11-25 18:14:40.276	975ms	18ms	57.1%	0	0	86.8 KB	4.8 KB
3	ea/eef21b	304034	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GET_CHROM_SIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 18:14:40.465	2s	0ms	33.3%	2.8 MB	11 MB	81.7 KB	374 B
8	0d/41b685	304387	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 18:14:41.263	1.9s	0ms	96.3%	13.4 MB	61.7 MB	184.3 KB	56.6 KB
2	bf/8ae592	304393	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test_illumina_amplicon.csv)	COMPLETED	0	2021-11-25 18:14:41.275	1.9s	0ms	55.6%	10.5 MB	32.5 MB	651.6 KB	907 B
4	d2/ccbc08	304871	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz)	COMPLETED	0	2021-11-25 18:14:43.215	1.8s	782ms	90.9%	6.7 MB	11.1 MB	91.9 MB	105.2 MB
6	e1/200a1d	304870	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 18:14:43.205	2.3s	1s	90.0%	11.6 MB	33.4 MB	1.7 MB	8.3 MB
1	84/d5175c	305345	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-25 18:14:45.006	1.6s	0ms	109.1%	10.4 MB	32.2 MB	644.6 KB	3.9 KB
5	14/afc80c	305559	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-25 18:14:45.516	1.6s	0ms	66.7%	2.7 MB	11 MB	83.1 KB	9.4 KB
10	7d/ad816b	305979	NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE)	COMPLETED	0	2021-11-25 18:14:47.126	655ms	9ms	100.0%	0	0	5.6 MB	5.5 MB
9	2e/db8646	305782	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-25 18:14:46.607	3.4s	2s	71.5%	64.4 MB	8.9 GB	17.8 MB	16.6 KB
13	09/3698a5	306199	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE1_PE)	COMPLETED	0	2021-11-25 18:14:47.786	7.6s	6s	117.9%	612.4 MB	943.1 MB	14.8 MB	7 MB
12	1d/d66bfa	306580	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE2_PE)	COMPLETED	0	2021-11-25 18:14:49.986	8.2s	6s	168.9%	341.9 MB	3.3 GB	26.6 MB	4.7 MB
14	17/21083c	307609	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE2_PE)	COMPLETED	0	2021-11-25 18:14:58.226	6.8s	5s	115.5%	599.5 MB	1007.1 MB	10.9 MB	5.6 MB
11	13/1c6074	307267	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE1_PE)	COMPLETED	0	2021-11-25 18:14:55.342	9.8s	7s	163.1%	355.3 MB	3.3 GB	28.3 MB	4.7 MB
16	d9/ae4240	308429	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE3_SE)	COMPLETED	0	2021-11-25 18:15:05.127	6.9s	5s	110.4%	429.7 MB	780.8 MB	11.5 MB	6.2 MB
15	88/c1caf3	308395	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE3_SE)	COMPLETED	0	2021-11-25 18:15:05.001	7.3s	6s	159.5%	263.1 MB	3.2 GB	25.6 MB	2.3 MB
18	52/bb6b6f	309491	NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE1_PE)	COMPLETED	0	2021-11-25 18:15:12.312	4.8s	3s	166.9%	40 MB	238.1 MB	113.7 MB	37.1 MB
17	0b/d7214f	309373	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_TRIM (SAMPLE1_PE)	COMPLETED	0	2021-11-25 18:15:11.983	9.4s	8s	175.0%	367 MB	3.3 GB	27.7 MB	4.5 MB
20	78/eb7957	310997	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_TRIM (SAMPLE2_PE)	COMPLETED	0	2021-11-25 18:15:21.343	9.3s	8s	188.0%	327 MB	3.3 GB	26.4 MB	4.5 MB
22	9e/aa1aa1	312541	NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE2_PE)	COMPLETED	0	2021-11-25 18:15:30.689	3.8s	2s	162.9%	8.9 MB	237.9 MB	101.3 MB	29.3 MB
21	30/255b9e	313021	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE2_PE)	COMPLETED	0	2021-11-25 18:15:34.486	1m 30s	1m 28s	97.6%	60.3 MB	279.5 MB	41.6 MB	32.2 MB
19	88/a43ece	310165	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE1_PE)	COMPLETED	0	2021-11-25 18:15:17.100	1m 52s	1m 50s	97.9%	60.3 MB	279.5 MB	50.1 MB	40.9 MB
23	e7/491513	318841	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_TRIM (SAMPLE3_SE)	COMPLETED	0	2021-11-25 18:17:04.050	7.4s	6s	148.9%	363.7 MB	3.2 GB	25.9 MB	2.2 MB
24	0a/a9e167	319908	NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE3_SE)	COMPLETED	0	2021-11-25 18:17:11.457	4.3s	3s	170.7%	9 MB	238.1 MB	111.8 MB	36.7 MB
26	b0/fe2232	320786	NFCORE_VIRALRECON:ILLUMINA:CUTADAPT (SAMPLE1_PE)	COMPLETED	0	2021-11-25 18:17:15.766	15.3s	13s	177.6%	143 MB	1.1 GB	129 MB	126.8 MB
27	0e/999622	324057	NFCORE_VIRALRECON:ILLUMINA:CUTADAPT (SAMPLE2_PE)	COMPLETED	0	2021-11-25 18:17:31.024	13s	11s	161.8%	133.9 MB	1.1 GB	103.1 MB	100.7 MB
28	4a/bd6da3	326339	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (SAMPLE2_PE)	COMPLETED	0	2021-11-25 18:17:44.062	1.9s	0ms	167.9%	28.3 MB	1.7 GB	4.6 MB	2.4 MB
29	ac/cb9637	326574	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (SAMPLE1_PE)	COMPLETED	0	2021-11-25 18:17:45.926	2s	0ms	173.1%	37.7 MB	1.9 GB	6.1 MB	3.2 MB
25	9f/4a135c	319449	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE3_SE)	COMPLETED	0	2021-11-25 18:17:09.104	52.5s	51s	99.2%	41.8 MB	279.5 MB	47.8 MB	38.4 MB
30	27/ccc561	326951	NFCORE_VIRALRECON:ILLUMINA:CUTADAPT (SAMPLE3_SE)	COMPLETED	0	2021-11-25 18:17:47.891	14.6s	13s	175.5%	128.7 MB	796.8 MB	124.7 MB	122.3 MB
33	72/21caaa	329523	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA (SAMPLE1_PE)	COMPLETED	0	2021-11-25 18:18:02.462	5s	4s	153.0%	124.7 MB	5.3 GB	65.3 MB	28.7 MB
34	c1/6da72b	329294	NFCORE_VIRALRECON:ILLUMINA:FASTQC (SAMPLE1_PE)	COMPLETED	0	2021-11-25 18:18:01.643	11.3s	9s	173.9%	368.5 MB	3.3 GB	27.1 MB	4.3 MB
